Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2946586685,0.2739487933,0.3095122974,0.3139320319,0.1015378757,0.1174027278,0.1203422095,0.09729813154,0.03534588707,0.05785035247,0.06953738726,0.06848920863,0.01354339414,0.06542993231,0.03517556357,0.0427358789,0.1986754967,0.2462352462,0.3621730382,0.2079925216,0.208150745,0.1917566674,0.2323423754,0.2674888803,0.2728306622,1.76571642,1.815411735,1.15297067,,,
Africa Eastern and Southern,AFE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,0.5668560291,0.5864749949,0.6448198021,0.7145577151,0.7931564201,1.053381527,1.145073521,1.127495164,1.049867446,0.8141360967,0.9522054194,0.9433176457,1.090053704,0.9136444394,0.8841652362,0.9768707646,0.8225979636,0.914032071,0.8650904607,0.7338662084,0.9890482745,1.10214552,1.156721144,1.098822187,0.8962196169,1.056873183,0.9302990504,0.9589594392,0.681033666,0.6922085789,0.7196387217,0.7996815803,0.9206521172,0.9313794839,1.005097727,1.011307496,0.9854839085,1.080014002,1.199226277,1.049104963,1.0257852,1.34847112,1.431611514,1.490844224,
Afghanistan,AFG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.8857229486,1.133161577,2.385156858,1.005983844,1.102188139,1.723212116,1.236113844,1.821996754,3.464844965,4.38709021,4.450984766,4.407426129,3.921812138,
Africa Western and Central,AFW,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,0.4300653557,0.4794222764,0.428088109,0.4802108676,0.2266666873,0.2006461595,0.2687559155,0.2829870959,0.3621292603,0.5190199362,0.5311875757,0.5880580588,0.6322028159,0.598181377,0.6524023501,0.7490490363,1.564176919,1.423999227,0.992216236,0.8947251553,1.0434638,0.9460347957,1.592261337,1.644381554,1.483504773,1.354169623,1.348070146,1.697696405,5.384754251,4.935077217,4.569013622,4.02444558,4.316048452,4.023342644,4.116871464,3.806008368,3.420683927,3.360973708,4.103563988,4.10950983,4.695495078,4.746079977,4.464001726,3.758039021,
Angola,AGO,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06831909226,,,,,,,,,0,0,0,0.09270983459,0.0002309273928,0.0214464737,0.000183157415,0.03150953129,0.02679939149,0.02125499389,0.009565679092,0.003943726764,0.001161276983,0.001558161627,0.003853256241,0.01379514555,
Albania,ALB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27596153,28.00942102,16.32684291,17.85800219,17.21755479,13.29635342,19.80153266,12.6769794,17.17640745,17.82973046,16.87117035,15.83799653,16.15480677,16.01704592,15.28165672,13.74895039,14.48280697,14.26161023,13.30246111,12.04023633,11.52428617,10.03307757,10.74230124,11.33644066,11.01076776,10.07568152,9.621064021,9.563565027,9.847015842,
Andorra,AND,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.059737757,1.896013694,1.958549197,1.77464931,1.873820872,1.896657518,1.896110741,2.007651499,2.004121744,2.237742776,2.397005397,2.419863021,2.581167643,2.442767231,2.494784644,2.946260123,
United Arab Emirates,ARE,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,,,,,,,,,,,,,,,,,,,0.04476362812,0.06064777984,0.07276325393,0.05338292531,0.03321175977,0.02692848676,0.04045921103,0.03053722826,0.02884586536,0.03060135496,0.02399236536,0.03465693439,0.01615820121,0.01007801098,0.006731103937,0.02437255334,0.02423865815,0.02464812954,0.0238839095,0.02243400408,0.02291366482,0.0226789361,0.03038090053,0.07056281849,0.2114424205,0.2143008745,0.1893501267,0.2174178907,0.2324741184,0.2109337648,0.1950293814,0.1887647943,0.1520913677,0.1315405271,0.1057786822,0.09691667469,0.09601520083,0.08313310235,0.07023444139,0.07456744637,0.09954684633,0.1198723392,0.1620840596,
