Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Population growth (annual %),SP.POP.GROW,,2.236462489,1.432843226,0.8235017716,0.580333649,0.5734983285,0.599694129,0.590950867,0.5720633015,0.6096798863,0.5704405812,0.62778659,0.6823676208,0.6445456798,0.481936625,0.207955183,-0.1105255022,-0.3637810745,-0.438291368,-0.2165332225,0.2082136857,0.7691198052,1.279733959,1.411551999,0.9805019411,0.3146605695,-0.6031736531,-1.296580747,-1.246456623,-0.06387945019,1.816829615,3.898738693,5.446051861,6.048669078,5.644930133,4.61015602,3.531109513,2.655185894,2.118993196,1.961614669,2.06484056,2.20516342,2.235514952,2.108323583,1.765472909,1.291950435,0.798578361,0.3919710447,0.1342626616,0.08875127546,0.209731414,0.3779794894,0.5033854678,0.5832904303,0.5905081888,0.5410483371,0.5028595136,0.4718740026,0.4592658884,0.4374146758,0.4280169481,
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,,2.539822045,2.575181508,2.606838848,2.633212739,2.656488448,2.677083885,2.699647065,2.728246267,2.764599588,2.805011552,2.8445072,2.878912731,2.906277693,2.926069128,2.939789098,2.950883794,2.960983318,2.966164408,2.972448928,2.974336132,2.970647776,2.965383802,2.965635553,2.975572595,2.986493217,2.997632811,3.001095388,2.987171897,2.956404812,2.913058531,2.871078331,2.832013496,2.791294245,2.751373997,2.710420057,2.673851161,2.642958904,2.621264387,2.612969847,2.612275506,2.614605363,2.619585878,2.629364121,2.64581128,2.666015223,2.685749124,2.703187833,2.7200228,2.734577761,2.74740956,2.756619249,2.763425798,2.761495568,2.750400213,2.73259764,2.712217978,2.690901728,2.665619539,2.636666337,2.605427487,
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,,1.898498719,1.965804828,2.029830298,2.090207709,2.147638846,2.171068186,2.188164589,2.25448537,2.384674381,2.536743603,2.665128505,2.714538547,2.659056585,2.479516591,2.200731281,1.981388587,1.747747775,1.281715197,0.522282315,-0.4076581919,-1.39341634,-2.219779588,-2.712854086,-2.695381732,-2.20451624,-1.706755536,-1.127989402,0.1160079649,2.136295072,4.47695438,6.900124486,8.546107005,8.790896707,7.659795534,5.884278564,4.019477716,2.636501764,1.947343862,2.170428511,2.975057223,3.902804964,4.496718747,4.668343795,4.321559517,3.682699881,2.990523836,2.493830391,2.268273041,2.396978302,2.746614638,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093,
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,2.034308384,2.085971679,2.133724516,2.173360929,2.202844974,2.226134114,2.24805556,2.273562284,2.30415269,2.341521928,2.383870787,2.423952085,2.463133535,2.508706687,2.561799419,2.617949601,2.672785692,2.71973232,2.754119213,2.773436687,2.781425446,2.784997935,2.787464727,2.786850797,2.783816807,2.778694503,2.773111105,2.765698003,2.754037944,2.737518337,2.718931855,2.699364096,2.683420419,2.675496448,2.677430134,2.685859559,2.697325182,2.706866803,2.71216021,2.711399671,2.70753222,2.701705488,2.699588557,2.706139259,2.723453484,2.746731093,2.770643398,2.788722003,2.798112308,2.796558411,2.787372535,2.775170989,2.763802508,2.753564154,2.745542205,2.738331566,2.730331791,2.719329942,2.704168038,2.684151739,2.660901631,
Angola,AGO,Population growth (annual %),SP.POP.GROW,,1.39289146,1.383295771,1.256405222,0.9739700718,0.6184503607,0.1858053398,-0.1188153738,-0.0427318863,0.5477719052,1.482543414,2.529200702,3.380672667,3.896823948,3.987886048,3.806905212,3.574803462,3.432138414,3.353879221,3.37390728,3.453859477,3.524002469,3.552752715,3.567178307,3.564178612,3.547815028,3.531784832,3.514328259,3.48243869,3.434478954,3.378411204,3.324464731,3.280272449,3.246643198,3.226227166,3.216807477,3.214262263,3.217312688,3.228921462,3.249266492,3.277215347,3.301173785,3.329262382,3.378794366,3.452987549,3.537604763,3.619584119,3.680601168,3.710554891,3.703841815,3.671493333,3.634150215,3.597754539,3.551997427,3.497447411,3.438869368,3.378269432,3.322158363,3.276144588,3.242914028,3.218530352,
Albania,ALB,Population growth (annual %),SP.POP.GROW,,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.6028096795,-0.6064347262,-0.6101657927,-0.6138805069,-0.6177036584,-0.621511399,-0.6254300969,-0.6293343925,-0.633352274,-0.6373568339,-0.9384704277,-0.2998766971,-0.3741491693,-0.4179313779,-0.5117901164,-0.6309112449,-0.7557187554,-0.7673429591,-0.6738940465,-0.4964619634,-0.2690173318,-0.1651510401,-0.1832113846,-0.2070469998,-0.2912057868,-0.1598804121,-0.09197229374,-0.2467320423,-0.426007367,-0.5742069592,
Andorra,AND,Population growth (annual %),SP.POP.GROW,,6.969856327,6.73036819,6.470513057,6.254806096,5.978229519,5.783532607,5.515430305,5.28191047,5.194874982,5.165110136,5.201188269,5.010961339,4.888757611,4.444252232,3.952689909,3.447458401,3.058285474,2.931967721,3.153289593,3.493188932,3.902018923,4.221842692,4.349871059,4.433468986,4.323747045,4.230543162,4.083575195,3.992764312,3.925274295,3.844901422,3.882690372,3.836105763,3.491210257,2.753105544,1.871458804,0.7845746554,-0.06994039809,-0.2771335595,0.3548420942,1.575272637,2.944447046,3.936690931,4.374143825,4.10952559,3.379619093,2.657381795,2.06144998,1.414681757,0.7141147617,-0.008288192291,-0.8394717614,-1.589923668,-2.030744369,-1.946518269,-1.552134769,-0.8989808624,-0.3862810393,0.0142852505,0.1790417853,0.1541341272,
Arab World,ARB,Population growth (annual %),SP.POP.GROW,,2.740659028,2.755250118,2.773687356,2.797644457,2.823647927,2.858244843,2.88777165,2.892623088,2.867067975,2.827183687,2.774621275,2.74360299,2.770290686,2.868440264,3.007165677,3.151013799,3.259571583,3.318090024,3.314087701,3.267353182,3.210182611,3.160193457,3.109857883,3.063230037,3.018270513,2.967807078,2.912167916,2.858267327,2.80736526,3.678351643,2.729938457,1.847008323,2.69875864,2.59406853,3.11993922,2.328512435,2.247571019,2.172631568,2.150241261,2.152845616,2.156238121,2.161010461,2.18847253,2.241337147,2.3071735,2.377079851,2.430739902,2.453954266,2.43302065,2.38321483,2.329382834,2.280225773,2.223478201,2.160504112,2.095506434,2.023741985,1.955221378,1.919966442,1.909788261,1.918912231,
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,,8.683733181,10.63500954,10.98548252,9.825549772,8.205946531,6.537439671,5.939024249,7.297469208,10.63057483,14.37935198,16.81808317,17.6334103,17.59142529,16.9371419,15.95060974,15.14088259,14.21202075,12.76854576,10.90387306,9.000777125,7.289713069,6.034682682,5.31957757,5.195610155,5.42925326,5.706048692,5.85016277,5.920996297,5.88392357,5.784264577,5.776096321,5.802706395,5.692129473,5.429052153,5.127893309,5.007767809,5.077012222,5.173952161,5.289641917,5.510750099,5.241545482,5.193151862,6.487373081,9.174108048,12.01992783,14.42466877,15.17725135,13.91010551,11.04459859,7.687222167,4.536241844,2.15417386,0.6140860823,0.1767751976,0.5272923876,1.053270899,1.339470237,1.503937821,1.438677058,1.219428682,
Argentina,ARG,Population growth (annual %),SP.POP.GROW,,1.624717139,1.600079427,1.575354238,1.549257977,1.524294968,1.497718836,1.477606552,1.475753317,1.496604597,1.531527655,1.574602505,1.609464237,1.622670341,1.606684604,1.572154307,1.530444261,1.499160509,1.487837809,1.503748522,1.536980274,1.571941814,1.596433496,1.610528736,1.610390314,1.598566074,1.584792374,1.568941442,1.541803574,1.501814363,1.452964749,1.401455104,1.352157951,1.306053433,1.265333432,1.229233608,1.19362308,1.159504919,1.132215016,1.113380523,1.100608135,1.092033612,1.08355691,1.072004712,1.055389439,1.036268365,1.015454578,0.9988841531,0.9925704757,0.9995422887,0.7522179926,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.9933974933,0.9700539914,
Armenia,ARM,Population growth (annual %),SP.POP.GROW,,3.532115772,3.443803805,3.330780204,3.193573704,3.044639624,2.884839866,2.734413581,2.616410962,2.541048875,2.491265076,2.450803634,2.396663146,2.323167451,2.222625592,2.104848204,1.986352375,1.878436942,1.785501456,1.709717583,1.647560567,1.547345911,1.438104116,1.395980065,1.44084857,1.520584675,1.67445452,1.74408746,1.515708916,0.9034393957,0.04780457378,-0.9346389203,-1.797065633,-2.342446454,-2.390656635,-2.040214356,-1.5390022,-1.115084109,-0.7815128184,-0.6347848763,-0.6307605879,-0.6179799262,-0.5492512816,-0.5300153817,-0.5723223124,-0.6503892801,-0.7731583747,-0.8720600593,-0.8561358954,-0.6736388532,-0.3739548897,-0.02704276284,0.2674294549,0.461930535,0.5098121264,0.4507059919,0.3612604083,0.2938990059,0.2357998084,0.2026240276,0.1859833448,
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,,2.347156754,3.063487757,3.619112478,3.65913502,3.546852173,3.315082997,3.066145075,2.909509145,2.726164499,2.456653326,2.240625681,2.058573738,1.869407796,1.67641665,1.509082964,1.35539265,1.236779295,1.378532524,1.83828706,2.499742503,3.162521452,3.70531421,4.046389901,4.12382427,4.066807976,3.95165199,3.88099508,3.686386613,3.431187654,3.125354917,2.772141318,2.471165085,2.229470594,2.083004602,2.012285615,1.957833546,1.860501781,1.710885754,1.534972599,1.335500631,1.169282185,0.9883301937,0.7050597638,0.3171702371,-0.2130140606,-0.755064009,-1.263253545,-1.513964199,-1.427782324,-1.048262953,-0.5883474442,-0.1543653379,0.08618677926,0.1327259226,0.02688244324,-0.1201309033,-0.2191171537,-0.280883888,-0.2690187859,-0.2081279199,
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,,1.599858198,1.522753006,1.514022701,1.644227278,1.818857087,2.045412803,2.192375184,2.073391826,1.63397144,0.9879755006,0.2645133721,-0.3424447653,-0.7591030559,-0.8536069566,-0.6948723688,-0.5087034262,-0.3067905872,-0.1996780052,-0.1451777068,-0.1405390793,-0.1164577568,-0.0145667603,-0.001618659911,0.008093037564,0.001618528919,-0.05018658181,-0.06641450996,0.0728916134,0.4023760125,0.8447135502,1.318567747,1.71492679,2.024087038,2.141789522,2.165341864,2.166482523,2.158199961,2.086657828,1.967702252,1.769346866,1.572944406,1.396717452,1.285477288,1.297792207,1.378189901,1.526431021,1.57610133,1.611386336,1.567388321,1.472794154,1.376375519,1.288027737,1.21265579,1.143043433,1.084181616,1.00909459,0.9529146313,0.8940786814,0.8614457839,0.8336671489,
Australia,AUS,Population growth (annual %),SP.POP.GROW,,1.989740046,2.440639401,1.917816478,1.96235442,1.959716895,2.283184382,1.262276888,1.764158656,2.09302301,1.970188879,3.380293537,1.838146263,1.528816914,2.531220259,1.231185888,1.00265826,1.12667268,1.162885259,1.08064227,1.21894271,1.586852569,1.667535733,1.250548264,1.132221845,1.367346075,1.638988867,1.520986626,1.636206657,1.69256678,1.479978016,1.274577578,1.213390775,0.9783366811,1.058508842,1.208019812,1.313819299,1.11872569,1.042235716,1.142505187,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.521653677,1.282933137,
Austria,AUT,Population growth (annual %),SP.POP.GROW,,0.5484723564,0.6128958478,0.6423626707,0.6665482053,0.6497298756,0.7013961162,0.7474252201,0.5192542616,0.3453316462,0.3492189463,0.4462455814,0.5811903523,0.554041399,0.1702057677,-0.2653194107,-0.1766722847,0.0383904939,-0.08096104168,-0.170463648,0.0001059682792,0.2550182314,0.07171701803,-0.1616009813,-0.006294904092,0.04695096791,0.06354899747,0.06328420391,0.1415708503,0.4505138997,0.7620016113,0.9984181031,1.100552287,0.824627941,0.3848695467,0.1531062607,0.1350198337,0.1133166083,0.1097283681,0.1945631533,0.2404666524,0.3827993945,0.4919804643,0.4871338948,0.6204131273,0.6812672483,0.4947977751,0.3241465353,0.3130414377,0.2619531899,0.2403942995,0.3370808418,0.4559374723,0.5893872547,0.7815416325,1.120992502,1.081396299,0.6946211036,0.4870719248,0.444673639,0.4151767316,
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,,3.405116148,3.441140536,3.386833308,3.22798061,3.003996783,2.768594578,2.558192488,2.373912095,2.226789392,2.108981808,1.997017979,1.888529221,1.800174004,1.735382918,1.689479633,1.65348809,1.623300284,1.603764664,1.593631628,1.591266881,1.589979082,1.591335402,1.601581288,1.622124037,1.646524939,1.668812982,1.680174357,1.676464495,1.653157738,0.6757505764,1.330445679,1.51162852,1.515806893,1.348475012,1.15566614,1.011799917,0.9646737737,0.9491381466,0.8775986999,0.8215199637,0.7747659394,0.7461735827,0.7576509556,0.8754272805,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.9812618045,0.8663169164,0.8466467264,0.6843653254,
